Level	Date and Time	Source	Event ID	Task Category
Error	7/19/2023 4:21:27 PM	Microsoft-Windows-CAPI2	4107	None	"Failed extract of third-party root list from auto update cab at: <http://www.download.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
."
Error	7/19/2023 4:21:22 PM	Microsoft-Windows-CAPI2	4107	None	"Failed extract of third-party root list from auto update cab at: <http://www.download.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
."
Error	7/19/2023 4:21:22 PM	Microsoft-Windows-CAPI2	4107	None	"Failed extract of third-party root list from auto update cab at: <http://www.download.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
."
Error	7/19/2023 4:21:17 PM	Microsoft-Windows-CAPI2	4107	None	"Failed extract of third-party root list from auto update cab at: <http://www.download.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
."
Error	7/19/2023 4:21:17 PM	Microsoft-Windows-CAPI2	4107	None	"Failed extract of third-party root list from auto update cab at: <http://www.download.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
."
Error	7/19/2023 4:21:13 PM	Microsoft-Windows-CAPI2	4107	None	"Failed extract of third-party root list from auto update cab at: <http://www.download.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
."
Error	7/19/2023 4:21:07 PM	Microsoft-Windows-CAPI2	4107	None	"Failed extract of third-party root list from auto update cab at: <http://www.download.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
."
Error	7/19/2023 4:21:04 PM	Microsoft-Windows-CAPI2	4107	None	"Failed extract of third-party root list from auto update cab at: <http://www.download.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
."
Error	7/19/2023 4:21:02 PM	Microsoft-Windows-CAPI2	4107	None	"Failed extract of third-party root list from auto update cab at: <http://www.download.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
."
Error	7/19/2023 4:21:02 PM	Microsoft-Windows-CAPI2	4107	None	"Failed extract of third-party root list from auto update cab at: <http://www.download.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab> with error: A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.
."
