Level	Date and Time	Source	Event ID	Task Category
Information	7/19/2023 4:18:58 PM	Service Control Manager	7036	None	The Protected Storage service entered the running state.
Information	7/19/2023 4:09:36 PM	Service Control Manager	7036	None	The Application Experience service entered the stopped state.
Information	7/19/2023 4:02:47 PM	Service Control Manager	7036	None	The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information	7/19/2023 3:59:30 PM	Service Control Manager	7036	None	The Network Connections service entered the running state.
Information	7/19/2023 3:59:24 PM	Service Control Manager	7036	None	The Application Experience service entered the running state.
Information	7/19/2023 3:59:23 PM	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	7/19/2023 3:59:21 PM	Service Control Manager	7036	None	The Shell Hardware Detection service entered the running state.
Information	7/19/2023 12:00:00 PM	EventLog	6013	None	The system uptime is 77478 seconds.
Information	7/18/2023 8:02:33 PM	Service Control Manager	7036	None	The Windows Modules Installer service entered the stopped state.
Information	7/18/2023 8:02:33 PM	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information	7/18/2023 8:02:32 PM	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information	7/18/2023 3:11:02 PM	Service Control Manager	7036	None	The Diagnostic System Host service entered the stopped state.
Information	7/18/2023 2:45:35 PM	Service Control Manager	7036	None	The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information	7/18/2023 2:39:04 PM	Service Control Manager	7036	None	The Application Experience service entered the stopped state.
Information	7/18/2023 2:34:34 PM	Service Control Manager	7036	None	The Software Protection service entered the stopped state.
Information	7/18/2023 2:31:08 PM	Service Control Manager	7036	None	The Shell Hardware Detection service entered the stopped state.
Information	7/18/2023 2:31:04 PM	Service Control Manager	7036	None	The Portable Device Enumerator Service service entered the stopped state.
Information	7/18/2023 2:31:03 PM	Service Control Manager	7036	None	The Windows Update service entered the running state.
Information	7/18/2023 2:31:03 PM	Service Control Manager	7036	None	The SNMP Trap service entered the running state.
Information	7/18/2023 2:31:03 PM	Service Control Manager	7036	None	The Distributed Transaction Coordinator service entered the running state.
Information	7/18/2023 2:31:02 PM	Service Control Manager	7036	None	The Windows Font Cache Service service entered the running state.
Information	7/18/2023 2:31:02 PM	Service Control Manager	7036	None	The Diagnostic System Host service entered the running state.
Information	7/18/2023 2:31:02 PM	Service Control Manager	7036	None	The Diagnostic Policy Service service entered the running state.
Information	7/18/2023 2:31:02 PM	Service Control Manager	7036	None	The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the stopped state.
Information	7/18/2023 2:31:02 PM	Service Control Manager	7036	None	The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the running state.
Information	7/18/2023 2:31:02 PM	Service Control Manager	7036	None	The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the stopped state.
Information	7/18/2023 2:31:02 PM	Service Control Manager	7036	None	The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the running state.
Information	7/18/2023 2:29:46 PM	Service Control Manager	7036	None	The AWS Lite Guest Agent service entered the stopped state.
Information	7/18/2023 2:29:32 PM	Service Control Manager	7036	None	The Windows Modules Installer service entered the running state.
Information	7/18/2023 2:29:08 PM	Service Control Manager	7036	None	The Windows Licensing Monitoring Service service entered the stopped state.
Information	7/18/2023 2:29:06 PM	Service Control Manager	7036	None	The Remote Desktop Configuration service entered the running state.
Information	7/18/2023 2:29:06 PM	Service Control Manager	7036	None	The IPsec Policy Agent service entered the running state.
Information	7/18/2023 2:29:05 PM	Service Control Manager	7036	None	The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information	7/18/2023 2:29:05 PM	Service Control Manager	7036	None	The Certificate Propagation service entered the running state.
Information	7/18/2023 2:29:04 PM	Service Control Manager	7036	None	The Remote Desktop Services UserMode Port Redirector service entered the running state.
Information	7/18/2023 2:29:04 PM	Service Control Manager	7036	None	The Portable Device Enumerator Service service entered the running state.
Information	7/18/2023 2:29:04 PM	Service Control Manager	7036	None	The Network List Service service entered the running state.
Information	7/18/2023 2:29:04 PM	Service Control Manager	7036	None	The Software Protection service entered the running state.
Information	7/18/2023 2:29:04 PM	Service Control Manager	7036	None	The Application Experience service entered the running state.
Error	7/18/2023 2:29:02 PM	Service Control Manager	7026	None	"The following boot-start or system-start driver(s) failed to load: 
cdrom
vmhgfs"
Information	7/18/2023 2:29:02 PM	Service Control Manager	7036	None	The wampmysqld service entered the running state.
Information	7/18/2023 2:29:02 PM	Microsoft-Windows-Iphlpsvc	4200	None	Isatap interface isatap.us-east-2.compute.internal with address fe80::5efe:10.0.0.21 has been brought up.
Information	7/18/2023 2:29:02 PM	SNMP	1001	None	The SNMP Service has started successfully.
Information	7/18/2023 2:28:59 PM	Service Control Manager	7036	None	The wampapache service entered the running state.
Information	7/18/2023 2:28:59 PM	Service Control Manager	7036	None	The Server service entered the running state.
Information	7/18/2023 2:28:59 PM	Service Control Manager	7036	None	The Remote Desktop Licensing service entered the running state.
Information	7/18/2023 2:28:59 PM	Service Control Manager	7036	None	The World Wide Web Publishing Service service entered the running state.
Information	7/18/2023 2:28:58 PM	Service Control Manager	7036	None	The IP Helper service entered the running state.
Information	7/18/2023 2:28:58 PM	Service Control Manager	7036	None	The Windows Remote Management (WS-Management) service entered the running state.
Information	7/18/2023 2:28:58 PM	Service Control Manager	7036	None	The Windows Process Activation Service service entered the running state.
Information	7/18/2023 2:28:58 PM	Service Control Manager	7036	None	The Ec2Config service entered the running state.
Information	7/18/2023 2:28:58 PM	Service Control Manager	7036	None	The Windows Licensing Monitoring Service service entered the running state.
Information	7/18/2023 2:28:58 PM	Service Control Manager	7036	None	The Windows Management Instrumentation service entered the running state.
Information	7/18/2023 2:28:59 PM	Microsoft-Windows-TerminalServices-Licensing	0	None	The Remote Desktop Licensing service has started.
